05.01.2021 12:32:20.721 [background-preinit] DEBUG  org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
05.01.2021 12:32:20.721 [restartedMain] INFO   c.r.DemoApplication - Starting DemoApplication using Java 15.0.1 on DESKTOP-45G1C5T with PID 7608 (C:\Users\Anthony\IdeaProjects\AccountsSys\target\classes started by Anthony in C:\Users\Anthony\IdeaProjects\AccountsSys)
05.01.2021 12:32:20.731 [restartedMain] DEBUG  c.r.DemoApplication - Running with Spring Boot v2.4.0, Spring v5.3.1
05.01.2021 12:32:20.731 [background-preinit] INFO   o.h.v.i.util.Version - HV000001: Hibernate Validator 6.1.6.Final
05.01.2021 12:32:20.731 [restartedMain] INFO   c.r.DemoApplication - No active profile set, falling back to default profiles: default
05.01.2021 12:32:20.731 [restartedMain] DEBUG  o.s.b.SpringApplication - Loading source class com.root.DemoApplication
05.01.2021 12:32:20.759 [background-preinit] DEBUG  o.h.v.i.x.c.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
05.01.2021 12:32:20.773 [background-preinit] DEBUG  o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
05.01.2021 12:32:20.773 [background-preinit] DEBUG  o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
05.01.2021 12:32:20.773 [background-preinit] DEBUG  o.h.v.i.x.c.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
05.01.2021 12:32:20.791 [background-preinit] DEBUG  o.h.v.i.e.r.TraversableResolvers - Found javax.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
05.01.2021 12:32:20.793 [background-preinit] DEBUG  o.h.v.i.e.r.TraversableResolvers - Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
05.01.2021 12:32:20.834 [restartedMain] INFO   o.s.b.d.r.ChangeableUrls - The Class-Path manifest attribute in C:\Users\Anthony\.m2\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/C:/Users/Anthony/.m2/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
05.01.2021 12:32:20.834 [restartedMain] DEBUG  o.s.b.d.r.ChangeableUrls - Matching URLs for reloading : [file:/C:/Users/Anthony/IdeaProjects/AccountsSys/target/classes/]
05.01.2021 12:32:20.834 [restartedMain] DEBUG  o.s.b.d.s.DevToolsSettings - Included patterns for restart : []
05.01.2021 12:32:20.834 [restartedMain] DEBUG  o.s.b.d.s.DevToolsSettings - Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
05.01.2021 12:32:20.834 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
05.01.2021 12:32:20.834 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
05.01.2021 12:32:20.834 [background-preinit] DEBUG  o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
05.01.2021 12:32:20.834 [restartedMain] DEBUG  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bd705d4
05.01.2021 12:32:20.881 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
05.01.2021 12:32:20.909 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
05.01.2021 12:32:21.049 [background-preinit] DEBUG  o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
05.01.2021 12:32:21.057 [restartedMain] DEBUG  o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\Anthony\IdeaProjects\AccountsSys\target\classes\com\root\controllers\RegistrationRestController.class]
05.01.2021 12:32:21.059 [background-preinit] DEBUG  o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
05.01.2021 12:32:21.059 [background-preinit] DEBUG  o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
